title,bagofwords
Nuns on the Run,comedy crime jonathanlynn ericidle robbiecoltrane camillecoduri janetsuzman comedy crime jonathanlynn ericidle robbiecoltrane camillecoduri janetsuzman 2 criminals want boss kills boss triad rob police ordered nuns money men leaving keep hide dressed convent 
White Palace,drama romance luismandoki susansarandon jamesspader jasonalexander kathybates drama romance luismandoki susansarandon jamesspader jasonalexander kathybates ish yuppie adman ish working lust turns class woman love little common 40 20 
Bad Influence,drama thriller curtishanson roblowe jamesspader lisazane marciacross drama thriller curtishanson roblowe jamesspader lisazane marciacross mysterious stranger claiming hesitant young man break toxic relationships tries soft friend danger 
Truly Madly Deeply,comedy drama fantasy anthonyminghella julietstevenson alanrickman jennyhowe carolynchoa comedy drama fantasy anthonyminghella julietstevenson alanrickman jennyhowe carolynchoa partner gets another chance woman dealing inconsolable grief returns ghost earth death 
Ghost Dad,comedy family fantasy sidneypoitier billcosby kimberlyrussell denisenicholas ianbannen comedy family fantasy sidneypoitier billcosby kimberlyrussell denisenicholas ianbannen widowed father tries support ghost children becomes accident 
Havana,drama romance war sydneypollack robertredford lenaolin alanarkin tomasmilian drama romance war sydneypollack robertredford lenaolin alanarkin tomasmilian woman heavily involved professional gambler falls revolution movement 1950s cuba 
Stanley & Iris,drama romance martinritt janefonda robertdeniro swoosiekurtz marthaplimpton drama romance martinritt janefonda robertdeniro swoosiekurtz marthaplimpton struggling widow falls order cook illiterate short write teaches read night love kitchen 
Desperate Hours,action crime drama michaelcimino mickeyrourke anthonyhopkins mimirogers lindsaycrouse action crime drama michaelcimino mickeyrourke anthonyhopkins mimirogers lindsaycrouse married couple escaped con takes run moves lives law house 
Delta Force 2: The Colombian Connection,action adventure crime aaronnorris chucknorris johnp.ryan billydrago richardjaeckel action adventure crime aaronnorris chucknorris johnp.ryan billydrago richardjaeckel ruthless south american kingpin taken captive delta force dea agents 1986 film sequel reunited rescue 
Class of 1999,action horror sci-fi markl.lester bradleygregg tracilind malcolmmcdowell stacykeach action horror sci-fi markl.lester bradleygregg tracilind malcolmmcdowell stacykeach military training starts military robots three ex secretly placed respond violently organized gangs unruly students students teachers take school reprogrammed part begin 
An Angel at My Table,biography drama janecampion kerryfox alexiakeogh karenfergusson irischurn biography drama janecampion kerryfox alexiakeogh karenfergusson irischurn janet frame explore janet brilliant child world teen schizophrenia published misdiagnosed life europe discovery books acclaim 
Maniac Cop 2,crime horror action williamlustig robertdavi claudiachristian michaellerner brucecampbell crime horror action williamlustig robertdavi claudiachristian michaellerner brucecampbell times square serial killer maniac killer cop teams supernatural 
